art_id	url	name	where	m_gender	a_gender	m_count	a_count	m_quotes	a_quotes
a029	https://www.nytimes.com/2017/03/09/books/marilyn-b-young-dead-antiwar-historian.html	Aaron Blatt	both	male	male	1	1	0	0	
a029	https://www.nytimes.com/2017/03/09/books/marilyn-b-young-dead-antiwar-historian.html	Walter LaFeber	both	male	male	1	1	18	21	
a029	https://www.nytimes.com/2017/03/09/books/marilyn-b-young-dead-antiwar-historian.html	Lauren Young	manual_only							
a029	https://www.nytimes.com/2017/03/09/books/marilyn-b-young-dead-antiwar-historian.html	Julius Rosenberg	manual_only							
a029	https://www.nytimes.com/2017/03/09/books/marilyn-b-young-dead-antiwar-historian.html	Mollie Persoff	both	female	female	1	1	0	0	
a029	https://www.nytimes.com/2017/03/09/books/marilyn-b-young-dead-antiwar-historian.html	Leah Glasser	both	female	female	1	1	0	0	
a029	https://www.nytimes.com/2017/03/09/books/marilyn-b-young-dead-antiwar-historian.html	Ethel Rosenberg	both	female	female	1	1	0	0	
a029	https://www.nytimes.com/2017/03/09/books/marilyn-b-young-dead-antiwar-historian.html	Michael J. Young	manual_only							
a029	https://www.nytimes.com/2017/03/09/books/marilyn-b-young-dead-antiwar-historian.html	Carole Atkins	both	female	female	1	1	0	0	
a029	https://www.nytimes.com/2017/03/09/books/marilyn-b-young-dead-antiwar-historian.html	Ernest P. Young	manual_only							
a029	https://www.nytimes.com/2017/03/09/books/marilyn-b-young-dead-antiwar-historian.html	Julius	auto_only							
a029	https://www.nytimes.com/2017/03/09/books/marilyn-b-young-dead-antiwar-historian.html	Michael	auto_only							
a029	https://www.nytimes.com/2017/03/09/books/marilyn-b-young-dead-antiwar-historian.html	Ann Arbor	auto_only							
a030	https://www.nytimes.com/2017/03/10/science/pink-lake-westgate-melbourne-australia.html	Mark Norman	both	male	male	5	5	75	56	
a030	https://www.nytimes.com/2017/03/10/science/pink-lake-westgate-melbourne-australia.html	James	auto_only							
a030	https://www.nytimes.com/2017/03/10/science/pink-lake-westgate-melbourne-australia.html	Lake Hillier	auto_only							
a030	https://www.nytimes.com/2017/03/10/science/pink-lake-westgate-melbourne-australia.html	Westgate Park	auto_only							
a031	https://www.nytimes.com/2017/03/10/science/nasa-cassini-saturn-moon-pan.html	Carolyn C. Porco	both	female	female	4	4	68	30	
a031	https://www.nytimes.com/2017/03/10/science/nasa-cassini-saturn-moon-pan.html	Peter Thomas	both	male	male	1	1	9	10	
a031	https://www.nytimes.com/2017/03/10/science/nasa-cassini-saturn-moon-pan.html	Mark R. Showalter	both	male	male	3	3	34	39	
a031	https://www.nytimes.com/2017/03/10/science/nasa-cassini-saturn-moon-pan.html	Samochina	auto_only							
a032	https://www.nytimes.com/2017/03/01/us/georgia-racist-couple-sentenced.html	Jose I. Torres	both	male	male	7	8	0	0	
a032	https://www.nytimes.com/2017/03/01/us/georgia-racist-couple-sentenced.html	William McClain	both	male	male	1	1	7	0	
a032	https://www.nytimes.com/2017/03/01/us/georgia-racist-couple-sentenced.html	Kayla Rae Norton	both	female	female	9	9	21	25	
a032	https://www.nytimes.com/2017/03/01/us/georgia-racist-couple-sentenced.html	Brian Fortner	both	male	male	3	3	54	59	
a032	https://www.nytimes.com/2017/03/01/us/georgia-racist-couple-sentenced.html	Hyesha Bryant	both	female	None	1	1	40	0	
a032	https://www.nytimes.com/2017/03/01/us/georgia-racist-couple-sentenced.html	Norman Barnett	manual_only							
a033	https://www.nytimes.com/2017/03/01/movies/oscars-academy-pwc-accountants.html	Faye Dunaway	both	female	female	2	2	0	0	
a033	https://www.nytimes.com/2017/03/01/movies/oscars-academy-pwc-accountants.html	Emma Stone	both	female	female	1	1	0	0	
a033	https://www.nytimes.com/2017/03/01/movies/oscars-academy-pwc-accountants.html	Brian Cullinan	both	male	male	4	4	11	14	
a033	https://www.nytimes.com/2017/03/01/movies/oscars-academy-pwc-accountants.html	Cheryl Boone Isaacs	both	female	female	1	1	0	0	
a033	https://www.nytimes.com/2017/03/01/movies/oscars-academy-pwc-accountants.html	Martha L. Ruiz	both	female	female	2	2	0	0	
a033	https://www.nytimes.com/2017/03/01/movies/oscars-academy-pwc-accountants.html	Warren Beatty	both	male	male	4	4	0	3	
a034	https://www.nytimes.com/2017/03/15/technology/yahoo-hack-indictment.html	Jack Bennett	both	male	male	1	1	0	0	
a034	https://www.nytimes.com/2017/03/15/technology/yahoo-hack-indictment.html	Mary B. McCord	both	female	female	1	1	33	37	
a034	https://www.nytimes.com/2017/03/15/technology/yahoo-hack-indictment.html	Trump	both	male	None	1	1	0	0	
a034	https://www.nytimes.com/2017/03/15/technology/yahoo-hack-indictment.html	Dmitry Aleksandrovich Dokuchaev	both	male	male	1	1	0	0	
a034	https://www.nytimes.com/2017/03/15/technology/yahoo-hack-indictment.html	Alexsey Belan	both	male	male	3	3	0	0	
a034	https://www.nytimes.com/2017/03/15/technology/yahoo-hack-indictment.html	Karim Baratov	both	male	male	2	2	0	0	
a034	https://www.nytimes.com/2017/03/15/technology/yahoo-hack-indictment.html	Ronald S. Bell	both	male	male	1	1	0	0	
a034	https://www.nytimes.com/2017/03/15/technology/yahoo-hack-indictment.html	Marissa Mayer	both	female	female	1	1	0	0	
a034	https://www.nytimes.com/2017/03/15/technology/yahoo-hack-indictment.html	Igor Anatolyevich Sushchin	both	male	None	1	1	0	0	
a036	https://techcrunch.com/2017/03/06/okta-stormpath/	Alex Salakar	manual_only							
a036	https://techcrunch.com/2017/03/06/okta-stormpath/	Frederic Kerrest	manual_only							
a036	https://techcrunch.com/2017/03/06/okta-stormpath/	Les Hazelwood	both	male	male	1	1	0	0	
a036	https://techcrunch.com/2017/03/06/okta-stormpath/	Todd McKinnon	both	male	male	2	2	62	68	
a036	https://techcrunch.com/2017/03/06/okta-stormpath/	Pitney Bowes	auto_only							
a036	https://techcrunch.com/2017/03/06/okta-stormpath/	Stormpath	auto_only							
a036	https://techcrunch.com/2017/03/06/okta-stormpath/	Salazar	auto_only							
a036	https://techcrunch.com/2017/03/06/okta-stormpath/	COOFrederic Kerrest	auto_only							
a037	https://techcrunch.com/2017/03/05/ibm-adds-new-api-to-quantum-computing-cloud/	Jerry Chow	both	male	male	4	4	48	50	
a038	https://techcrunch.com/2017/03/03/the-associated-press-plan-to-put-hyperlocal-data-in-the-hands-of-reporters/	Troy Thibodeaux	both	male	male	3	2	77	30	
a038	https://techcrunch.com/2017/03/03/the-associated-press-plan-to-put-hyperlocal-data-in-the-hands-of-reporters/	Asa	auto_only							
a039	https://techcrunch.com/2017/03/09/google-launches-committed-use-discounts-for-its-cloud-platform/	Urs Hölzle	manual_only							
a039	https://techcrunch.com/2017/03/09/google-launches-committed-use-discounts-for-its-cloud-platform/	Urs Hlzle	auto_only							
a040	https://techcrunch.com/2017/03/08/kabbage-nabs-500m-for-small-business-loans/	Anthony Nocera	both	male	male	1	1	36	41	
a040	https://techcrunch.com/2017/03/08/kabbage-nabs-500m-for-small-business-loans/	Kevin Phillips	both	male	male	4	4	19	23	
a041	https://www.nytimes.com/2017/03/15/science/great-barrier-reef-coral-climate-change-dieoff.html	C. Mark Eakin	both	male	male	2	2	25	26	
a041	https://www.nytimes.com/2017/03/15/science/great-barrier-reef-coral-climate-change-dieoff.html	Terry P. Hughes	both	male	male	7	7	95	0	
a041	https://www.nytimes.com/2017/03/15/science/great-barrier-reef-coral-climate-change-dieoff.html	Imogen Zethoven	both	female	None	1	1	30	33	
a041	https://www.nytimes.com/2017/03/15/science/great-barrier-reef-coral-climate-change-dieoff.html	Kim M. Cobb	both	female	ambiguous; most likely female	2	2	33	36	
a041	https://www.nytimes.com/2017/03/15/science/great-barrier-reef-coral-climate-change-dieoff.html	Donald J. Trump	auto_only							
a041	https://www.nytimes.com/2017/03/15/science/great-barrier-reef-coral-climate-change-dieoff.html	El Nio	auto_only							
a042	https://www.nytimes.com/2017/03/15/business/audi-vw-diesel-emissions.html	Ulrich Weiss	auto_only							
a042	https://www.nytimes.com/2017/03/15/business/audi-vw-diesel-emissions.html	Matthias Mller	auto_only							
a045	https://www.nytimes.com/2017/03/27/well/live/positive-thinking-may-improve-health-and-extend-life.html	Wendy Schlessel Harpham	both	female	female	3	3	29	33	
a045	https://www.nytimes.com/2017/03/27/well/live/positive-thinking-may-improve-health-and-extend-life.html	Judith T. Moskowitz	both	female	female	4	4	51	22	
a045	https://www.nytimes.com/2017/03/27/well/live/positive-thinking-may-improve-health-and-extend-life.html	Gregg De Meza	both	male	male	1	1	64	78	
a045	https://www.nytimes.com/2017/03/27/well/live/positive-thinking-may-improve-health-and-extend-life.html	Becca Levy	auto_only							
a045	https://www.nytimes.com/2017/03/27/well/live/positive-thinking-may-improve-health-and-extend-life.html	non-Hodgkin	auto_only							
a045	https://www.nytimes.com/2017/03/27/well/live/positive-thinking-may-improve-health-and-extend-life.html	Avni Bavishi	auto_only							
a046	https://www.nytimes.com/2017/04/05/world/asia/philippines-and-communist-rebels-agree-to-a-temporary-cease-fire.html	Fidel Agcaoili	both	male	male	2	2	0	0	
a046	https://www.nytimes.com/2017/04/05/world/asia/philippines-and-communist-rebels-agree-to-a-temporary-cease-fire.html	Rodrigo Duterte	both	male	male	5	5	26	38	
a046	https://www.nytimes.com/2017/04/05/world/asia/philippines-and-communist-rebels-agree-to-a-temporary-cease-fire.html	Jesus Dureza	both	male	male	2	2	56	62	
a046	https://www.nytimes.com/2017/04/05/world/asia/philippines-and-communist-rebels-agree-to-a-temporary-cease-fire.html	Jose Maria Sison	auto_only							
